,제목,가사
4514,기다릴게,<인디>오늘도 난 그대를 생각하네 멀리서 뒷모습만 바라보네 멀어져 가는 니 모습 뒤로 차가운 그향기에 난 눈을 감았어 저물어 가는 저 하늘 위로 텅 빈 가슴 모두 던져 버리네 기다릴게 다시 내게 돌아와줘 언제라도 기다릴게 돌아올지 몰라도 언제나 너만을 기다릴게 너무 멀리 가지마 그대 언제나 너만을 기다릴께 사라져 가는 니 모습 뒤로 쓸쓸히 술에 취해 난 길을 걸었어 야위어 가는 저 달빛 위로 터질것 같은 눈물을 버리네 이런 내 맘이 너에게 들린다면 니가 미소 지을때 마다 온 세상 가득 꽃이 피네 기다릴게 기다릴게 기다릴께 나 언제까지나 널 기다릴께 이모습 이대로 기다릴께 오직 너만을 언제나 기다릴께 너만을 기다릴께 기다릴께 너만을 기다릴께 기다릴께 너만을 기다릴께 기다릴께 한번만더 기회를 줘
4515,너를 그렇게 보내고서 (Feat. 이종민 of 장기하와 얼굴들),<인디>오 오오 오오 오오오 너를 그렇게 보내고서 난 오늘도 잘 수가 없네 너를 그렇게 보내고서 아무것도 나 할 수가 없네 오오오 너를 그렇게 보내고서 난 오늘도 잘 수가 없네 너를 그렇게 보내고서 아무것도 나 할 수가 없네 떠나버린 이유 따윈 나는 묻지 않았지 그냥 널 떠나게 한 내가 미워져서 견딜 수 없네 이렇게 해가 저물어 가고 바람이 불어오면 다시 또 커져가는 네 생각에 잠 못 들어 밤 거리를 헤매 너를 그렇게 보내고서 난 오늘도 잘 수가 없네 세상은 넓고 여자는 많다고 그렇게 얘기 하지만 그게 말처럼 쉽지 않고 오늘도 너만을 생각하네 이렇게 아무도 이별의 아픔을 가르쳐 주지 않았어 내게 어떻게 해야 할지 몰라 망가져가네 미칠 것 같았던 시간들도 익숙해지고 견딜 수 없었던 아픔들도 잊혀져 가고 밤하늘에 별을 보면 가끔씩 나를 생각해줄래 미안해 이말 난 하지 못했네 오 오오오오 너를 그렇게 보내고서 난 오늘도 잘 수가 없네 너를 그렇게 보내고서 아무것도 나 할 수가 없네 미칠 것 같았던 시간들도 익숙해지고 견딜 수 없었던 아픔들도 잊혀져 가고 밤하늘에 별을 보면 가끔씩 나를 생각해줄래 미안해 이말 난 하지 못했네 오 오오오오 미안해 이말 난 하지 못했네 미안해 이말 난 하지 못했네 예 예 오 오오오 너를 그렇게 보내고서 너를 그렇게 보내고서 난 오오오 너를 그렇게 보내고서 단 하루도 난 살수가 없네
4516,널 사랑해,<인디>널 보면 나 떨려와 내 가슴이 나 어떡해 돌아서면 생각나 네 눈빛이 레게 해 언제나 너만 바라봐 네가 날 보지 않아도 괜찮아 너도 날 원하잖아 널 사랑해 널 사랑해 널 사랑해 언젠가 고백 할거야 널 사랑해 널 사랑해 널 사랑해 언젠가 널 가질 거야 널 사랑해 널 사랑해 널 보면 나 떨려와 내 가슴이 나 어떡해 돌아서면 생각나 네 눈빛이 설레게 해 언제나 너만 바라봐 네가 날 보지 않아도 괜찮아 너도 날 원하잖아 널 사랑해 널 사랑해 널 사랑해 언젠가 고백 할거야 널 사랑해 널 사랑해 널 사랑해 언젠가 널 가질 거야 그 어떤 말로도 모자라 내 말 좀 들어봐 내 눈을 바라봐 내 맘을 에게 보여 주고 싶어 알잖아 너도 느끼잖아 내 맘 들리잖아 그래서 말하자면 널 사랑해 널 사랑해 널 사랑해 언젠가 고백 할거야 널 사랑해 널 사랑해 널 사랑해 언젠가 널 가질 거야 널 사랑해 널 사랑해 널 사랑해 언젠가 고백 할거야 널 사랑해 널 사랑해 널 사랑해 언젠가 널 가질 거야 널 사랑해 널 사랑해 널 사랑해 널 사랑해 널 사랑해
4518,"내일은 아무도 몰라 (MBC 드라마 ""두번은 없다"" 삽입곡)",<인디>사랑이 떠나가고 저 태양은 저물어가 그렇게 나의 눈은 낮은 천장만 바라봐 이대로 멈춰 설 수는 없잖아 아픔은 익숙하고 내 미소는 멀어져가 그래도 나의 눈은 작은 희망을 바라봐 이대로 멈춰 설 수는 없잖아 오늘도 난 꿈을 꾸네 달이 뜨면 꿈을 꾸네 또 상처투성이지만 다가올 내일은 아무도 몰라 꿈을 꾸네 항상 같은 꿈을 꾸네 눈물이 내 맘 적셔도 알 수 없는 내일의 설렘에 잠 못 드네 시간은 흘러가고 내 눈빛은 바래져가 그래도 나의 꿈은 나를 떠나가지 않아 이대로 멈춰 설 수는 없잖아 오늘도 난 꿈을 꾸네 달이 뜨면 꿈을 꾸네 또 상처투성이지만 다가올 내일은 아무도 몰라 꿈을 꾸네 항상 같은 꿈을 꾸네 눈물이 내 맘 적셔도 알 수 없는 내일의 설렘에 잠 못 드네 견뎌낼 수가 없었던 겨울 얼었던 날개를 다시 펼쳐 날아가 꿈을 꾸네 달이 뜨면 꿈을 꾸네 또 상처투성이지만 다가올 내일은 아무도 몰라 꿈을 꾸네 항상 같은 꿈을 꾸네 눈물이 내 맘 적셔도 알 수 없는 내일의 설렘에 잠 못 드네
4519,겨울 탓,<인디>별일 없이 흘러가는 하루 하루 특별할 것 없다고 느껴지네 네가 좋아했던 노래가 바람 부는 밤거리에 들리면 반짝이는 별들 따라 차오르는 기억들 함께 걸었던 이 거리 위에 아직도 너의 온기가 있네 널 기억해 언제부터 너를 생각했던 걸까 걸어봐도 멀어지지 않네 네가 좋아했던 공원에 소리 없이 내린 눈이 쌓이면 지나왔던 걸음마다 남겨진 내 기억들 함께 걸었던 이 거리 위에 아직도 나의 눈물이 있네 널 기억해 가끔 이렇게 그리운 날에 하얀 미소로 날 바라보던 그 모습 그대로 찾아와줘
4520,Midnight Song (Piano Ver.),<인디>멀리 밤이 지나고 다시 새벽이 오면 네 모습 지우려고 두 눈을 감아도 널 향한 내 마음 커져만 가네 멀리 밤이 지나고 다시 새벽이 오면 네 모습 지우려고 나 애를 써봐도 널 향한 그리움 커져만 가네 사랑은 스치는 꽃 향기라고 누가 말했었나 시간이 흐르면 아침이 오듯 다 잊혀질까 창가에 내 맘을 띄워 보내고 이렇게 밤은 깊어만 가네 멀리 밤이 지나고 다시 새벽이 오면 네 모습 지우려고 두 눈을 감아도 널 향한 내 마음 커져만 가네 사랑은 스치는 꽃 향기라고 누가 말했었나 시간이 흐르면 아침이 오듯 다 잊혀질까 창가에 내 맘을 띄워 보내고 이렇게 밤은 깊어만 가네 멀리 밤이 지나고 다시 새벽이 오면 네 모습 지우려고 두 눈을 감아도 널 향한 내 마음 커져만 가네 널 향한 내 마음 커져만 가네 널 향한 내 마음 커져만 가네 널 향한 내 마음 커져만 가네
4524,그댄 내맘 몰라,<인디>네 앞에서만은 나도 멋진 남자이고 싶어 왠지 그런대도 나는 계속 같은 실수를 해 그런 순간에도 나는 너를 품에 안고 싶어 애써 무심한척해도 나는 그런 상상을 해 널 바라볼 때면 나는 돌아올 수 없는 세계를 향해 가네 널 향해 가네 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 오 언젠가는 이맘 알게 될 거야 누가 뭐라 해도 항상 나의 맘은 얘기하지 그래 아무것도 너를 대신할 수 없다는 걸 지금 이 순간에도 나는 너를 향해 노래하지 너의 그 눈빛을 절대 포기할 수 없다는 걸 널 바라볼 때면 나는 돌아올 수 없는 세계를 향해 가네 널 향해 가네 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 오 언젠가는 이맘 알게 될 거야 시간이 흘러도 계절이 지나도 변하지 않는 너의 눈을 바라볼 때면 나는 너무 예쁜 너를 바라볼 때면 나는 돌아올 수 없는 세계를 향해 가네 널 향해가네 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 오 언젠가는 이맘 알게 될 거야 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 오 언젠가는 이맘 알게 될 거야
4525,청소,<인디>먼지가 더 쌓여가기 전에 어서 빨리 털어내야 해 내 맘이 먼저 움직이기 전에 내 몸을 먼저 움직여야 해 커튼 넘어 가로등불 다시 고개를 내밀면 너와 함께 걷던 그 길이 또 생각나 창문 뒤로 숨은 달빛 다시 내방을 비추면 너와 함께했던 그 밤이 또 찾아와 너는 마치 먼지 처럼 털어내도 다시 쌓이네 너는 마치 얼룩 처럼 지워내도 다시 보이네 얼룩이 더 번져가기 전에 흔적없이 지워내야 해 너의 모습 생각나기 전에 생각없이 움직여야 해 너는 마치 먼지 처럼 털어내도 다시 쌓이네 너는 마치 얼룩 처럼 지워내도 다시 보이네 너는 마치 먼지 처럼 털어내도 다시 쌓이네 너는 마치 얼룩 처럼 지워내도 다시 보이네 쓸고 또 쓸고 닦고 또 닦고 쓸고 또 쓸고 닦고 또 닦고 쓸고 또 쓸고 닦고 또 닦고 쓸고 또 쓸고 닦고 또 닦고 너는 마치 먼지 처럼 털어내도 다시 쌓이네 너는 마치 얼룩 처럼 지워내도 다시 보이네 너는 마치 먼지 처럼 털어내도 다시 쌓이네 너는마치 얼룩 처럼 지워내도 다시 보이네
4529,내게 말을 해봐,<인디>내게 말을 해봐 너의 맘을 내게 말을 해봐 언제야 내게 얘기 할 꺼야 너 내게 보여 줘봐 솔직함을 내게 보여 줘봐 언제까지 너 그럴 꺼야 자꾸 네 마음대로 내게 상처 주지 마 한번 생각 해봐 지난날을 한번 생각 해봐 언제까지 날 사랑한 거야 너 나의 모습을 봐 지친 나를 나의 모습을 봐 이제는 정말 모두 끝이야 자꾸 네 마음대로 내게 상처 주지 마 나도 내 마음대로 널 떠날 테니까 너와 함께 했던 날들 이젠 모두 뒤로 이제 혼자 걷겠지 쓸쓸히 저길 위로 네가 날 보며 또 미소 짓는다 해도 이제 필요 없어 떠나갈 꺼야 더는 제발 날 보며 웃지마 날 보며 웃지마 날 보며 웃지마 너의 미소에 나 약해질 지도 몰라 날 보며 웃지마 날 보며 웃지마 너의 목소리에 설레 일 지도 몰라 날 보며 웃지마 날 보며 웃지마 너와 함께 했던 날들 이젠 모두 뒤로 이제 혼자 걷겠지 쓸쓸히 저길 위로 네가 날 보며 또 미소 짓는다 해도 이제 필요 없어 떠나갈 꺼야 더는 제발 날 보며 웃지마 날 보며 웃지마 날 보며 웃지마 너의 미소에 나 약해질 지도 몰라 날 보며 웃지마 날 보며 웃지마 너의 목소리에 설레 일 지도 몰라 너의 미소에 나 약해질 지도 몰라 너의 작은 어깨 감싸 안을지 몰라
4530,길 없는 길 (Feat. 이종민 Of 장기하와 얼굴들),<인디>구름 위로 고개 내민 수줍은 달 바라보면 나를 보며 웃음 짓던 네 모습이 으으음 생각이 나 세상 위로 속삭이는 별빛마저 잠들고 나면 내 맘 깊이 숨겨왔던 그리움을 으으음 꺼내본다 언젠가 태양이 떠오르면 난 다시 가슴에 널 묻겠지만 이렇게 별도 없는 밤 하늘 가득 오직 그대뿐 나는 길 없는 길로 그대 모습 따라 흘러간다 언젠가 태양이 떠오르면 난 다시 가슴에 널 묻겠지만 이렇게 별도 없는 밤하늘 가득 오직 그대뿐 나는 길 없는 길로 그대 모습 따라서 그대 함께 걷던 그날처럼 그렇게 구름 위로 고개 내민 수줍은 달 바라보면 나를 보며 웃음 짓던 네 모습이 으음 생각이 나 생각이 나 생각이 나
4531,그댄 내맘 몰라 (Studio Ver.),<인디>네 앞에서만은 나도 멋진 남자이고 싶어 왠지 그런대도 나는 계속 같은 실수를 해 그런 이 순간에도 나는 너를 품에 안고 싶어 애써 무심한척 해도 나는 그런 상상을 해 널 바라볼 때면 나는 돌아올 수 없는 세계를 향해 가네 널 향해 가네 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 음 오늘밤엔 이맘 알게 될 거야 누가 뭐라 해도 항상 나의 맘은 얘기하지 너의 그 눈빛을 절대 포기할 수 없다는 걸 지금 이 순간에도 나는 너를 향해 노래하지 그래 아무것도 너를 대신할 수 없다는걸 널 바라볼 때면 나는 돌아올 수 없는 세계를 향해 가네 널 향해 가네 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 음 오늘밤엔 이맘 알게 될 거야 시간이 흘러도 계절이 지나도 변하지 않는 너의 눈을 바라볼 때면 나는 그런 너의 눈을 바라볼 때면 나는 너무 예쁜 너를 바라볼 때면 나는 돌아올 수 없는 세계를 향해 가네 널 향해가네 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 음 오늘 밤엔 이맘 알게 될 거야 날 막지 마요 다른 길은 몰라 우린 서로 같은 꿈을 꾸게 될 거야 겁먹지 마요 그댄 내 맘 몰라 음 오늘 밤엔 이맘 알게 될 거야
4536,더 이상 내게,<인디>더 이상 내게 그런 말 하지마 거기서 거기 그 얘기들 그보다 니 몸짓이 보고 싶어 더 이상 지난 얘기 하기 싫어 저길 봐 파란 하늘 있잖아 그리고 너는 아름답잖아 아직도 그런 생각 하는 동안 태양은 저기 뜨고 저리 또 지고 아직도 그런 생각 하는 동안 세상은 몰래 가고 우리도 가지 더 이상 내게 약속하지 마 멀고도 먼 날 내일 얘기 그보다 니 노래가 듣고 싶어 내일은 그때 가서 들어볼래 저길 봐 그렇게 꽃은 피잖아 그리고 넌 꿈이 있잖아 아직도 그런 생각 하는 동안 태양은 몰래 뜨고 몰래 또 지고 아직도 그런 생각 하는 동안 세상은 몰래 가고 우리도 가지 세상은 몰래 가고 우리도 가지
4544,작은 새 (Acoustic Ver.),<인디>어느 날 나의 어깨 위에 작은 새 한 마리가 앉아 한 번도 본적 없는 예쁜 미소로 나와 걷고 있네 어느새 너를 바라보며 함께 예쁜 노랠 부르네 깊은 밤 하얀 샛별 같은 목소리 자꾸 듣고 싶네 고운 달빛도 널 지켜주진 못해 이 세상은 외로운 곳이니까 아무도 널 아프게 못해 내가 곁에 있어줄 테니까 네가 멀리 날수 있을 때까지 이제는 낮에도 꿈을 꿔 너를 만났던 순간부터 언제나 고운 그 눈빛 간직하길 나는 기도하네 언제가 나의 곁을 떠나가겠지 꿈꾸던 넓은 바다를 볼 수 있길 바라네 고운 달빛도 널 지켜주진 못해 이 세상은 외로운 곳이니까 아무도 널 아프게 못해 내가 곁에 있어줄 테니까 고운 바람도 늘 함께하진 못해 이 세상은 계속 변해가니까 아무도 널 아프게 못해 내가 곁에 있어줄 테니까 네가 멀리 날수 있을 때까지
4546,놀자,<인디>그렇게 앉아 있지 말고 딴사람 눈치 보지 말고 이 노래 감상 하지 말고 복잡한 생각 하지 말고 좀 망가져 보는 게 어때 함께 즐겨보자 신나게 이제는 우리모두 함께 밤새 춤추며 노래할 때 그렇게 앉아 있지 말고 딴사람 눈치 보지 말고 이 노래 감상 하지 말고 복잡한 생각 하지 말고 좀 망가져 보는 게 어때 함께 즐겨보자 신나게 이제는 우리모두 함께 밤새 춤추며 노래할 때 예예 다같이 놀자 아아 내 친구들아 다같이 놀자 아아 내 친구들아 다같이 놀자 아아 내 친구들아 다같이 놀자 아아 내 친구들아 다같이 놀자 아 다같이 놀자 다같이 놀자 다같이 놀자 다같이 놀자 다같이 놀자 다같이 놀자 다같이 놀자 예예 다같이 놀자 아아 내 친구들아 다같이 놀자 아아 내 친구들아 다같이 놀자 아아 내 친구들아 다같이 놀자 아아 내 친구들아 다같이 놀자 아 다같이 놀자 다같이 놀자 다같이 놀자 예예
